SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
500002	ABB LTD.    	A 	Q	693	697.8	683	684.25	684.25	692.8	1209	16777	11533950	
500003	AEGIS LOGIS 	B 	Q	180.25	185	178.1	179.65	179.65	181.3	753	8165	1479322	
500008	AMAR RAJA BA	A 	Q	337	342	332.35	336.35	336.35	335.9	776	17900	6028515	
500009	A.SARABHAI  	T 	Q	2.54	2.54	2.4	2.4	2.4	2.5	9	3300	7972	
500010	HDFC        	A 	Q	799.3	799.3	790.45	793.15	793.15	796.3	1024	24034	19091358	
500012	ANDHRA PETRO	B 	Q	10.49	10.87	10.26	10.41	10.84	10.34	91	19912	206577	
500013	ANSAL INFRAS	B 	Q	21.5	23.9	21.5	22.65	22.65	21.5	866	170040	3822076	
500014	APPLE FINANC	T 	Q	1	1	1	1	1	1	9	5840	5840	
500020	BOM DYEING  	B 	Q	76.6	76.75	73.4	73.9	73.9	75.95	7597	450014	33451607	
500023	ASIANHOTNR  	B 	Q	102	105	102	105	105	107	4	295	30675	
500024	ASSAMCO     	B 	Q	5.11	6.3	5.11	6.25	6.25	5.25	4238	2728315	16666467	
500027	ATUL LTD.   	B 	Q	466.9	472	454.8	468.95	468.95	452.05	1226	47346	22089296	
500028	ATV PROJECTS	T 	Q	2.57	2.83	2.57	2.7	2.7	2.7	11	5325	14514	
500029	AUTOLITE(I) 	T 	Q	20.9	21.15	20.15	21.1	21.1	20.15	18	3736	78627	
500030	AUTORID.FIN 	T 	Q	0.79	0.79	0.79	0.79	0.79	0.8	1	1	0	
500031	BAJAJ ELECT.	B 	Q	224.2	228.75	223	227.1	227.1	223.05	818	32064	7237165	
500032	BAJAJHIND.LT	B 	Q	14.25	14.25	14.15	14.17	14.17	14.12	827	315896	4485589	
500033	FORCE MOTR  	B 	Q	380	381.35	370	373.2	373	373.95	161	1099	412969	
500034	BAJFINANCE  	A 	Q	1575	1612.2	1563	1575.4	1563	1574.25	258	1382	2195129	
500038	BALRAM.CHINI	B 	Q	46.1	46.3	45.8	45.95	45.95	45.85	260	22774	1047456	
500039	BANCO PROD. 	B 	Q	58.1	59.35	57	57.85	57.85	58.05	106	5618	325230	
500040	CENTURY TEXT	A 	Q	315	317.55	310.3	313.85	313.85	313.6	5843	222714	70001589	
500041	BANNARI AMAN	B 	Q	725	725	725	725	725	759	1	17	12325	
500042	BASF INDIA  	B 	Q	646.1	654.5	642.9	645.95	646	649.3	170	1093	707453	
500043	BATA INDIA  	A 	Q	1058	1085	1052	1068.15	1068.15	1056.55	1752	23156	24825726	
500046	BEST&CROMPT.	T 	Q	5.18	5.18	5.18	5.18	5.18	4.95	1	1	5	
500048	BEML LTD    	B 	Q	236	238.85	235.25	236.7	236.7	235.45	907	28502	6750955	
500049	BHARAT ELECT	A 	Q	1028.35	1045	1011.1	1019.85	1019.85	1023.8	382	1602	1653132	
500051	BHAG GAS    	T 	Q	0.92	0.92	0.92	0.92	0.92	0.96	7	11000	10120	
500052	BHANSALI ENG	B 	Q	13.34	13.34	13.01	13.01	13.01	13.34	5	466	6141	
500055	BHUSH STEEL 	A 	Q	480.25	483	479.1	480.35	480.05	480.55	406	35877	17263844	
500057	ABCIL       	B 	Q	112.45	117.65	108.5	112.95	111.6	112.45	1201	12801	1463211	
500058	BIHAR SPONGE	T 	Q	2.37	2.38	2.37	2.37	2.37	2.49	11	1666	3953	
500059	BINANI IND. 	B 	Q	88	89.9	85.4	88.2	88.2	87.15	1343	31308	2750393	
500060	BIRLA ERIC. 	B 	Q	19	19.65	19	19.5	19.5	18.75	36	5145	100966	
500067	BLUE STAR   	B 	Q	160	166	158.85	164.55	164.55	158.45	700	8594	1404747	
500068	DISA INDIA  	B 	Q	3150	3200	3150	3200	3200	3150	8	50	159000	
500069	BNK CAPITAL 	B 	Q	22.6	22.6	20.7	20.7	20.7	21.7	4	614	13734	
500074	BPL LTD.    	B 	Q	14.8	14.8	14.1	14.31	14.31	14.15	165	9385	134387	
500077	CABLE CORP. 	B 	Q	18.05	18.05	17.55	18.05	18.05	17.85	13	16254	293084	
500078	CAMPH.& ALL 	B 	Q	126	130	126	130	130	125	4	221	28610	
500083	CENTURY EXT 	T 	Q	0.82	0.82	0.82	0.82	0.82	0.85	1	1	0	
500084	CESC LTD.   	A 	Q	466.05	470.9	463.05	464.6	464.6	465.85	953	20616	9623578	
500085	CHAMBAL FERT	B 	Q	40.5	41.2	40.05	40.85	40.85	40.1	1458	213082	8703066	
500086	EXIDE IND.  	A 	Q	124.25	125.4	122.95	123.8	123.8	123	3692	327727	40785289	
500087	CIPLA LTD.  	A 	Q	403	406	401	401.55	401.55	400.55	1853	71371	28796066	
500089	DIC INDIA   	B 	Q	359.3	379	359.3	370.25	370.25	362.1	768	8156	3025616	
500092	CRISIL LTD  	A 	Q	1191	1197	1171.85	1179.45	1179.45	1207.1	295	1087	1283100	
500093	CROMPT.GREAV	A 	Q	129.5	130.7	128.6	129.75	129.75	128.75	1462	125627	16314945	
500095	WYETH LTD.  	B 	Q	795	800	788	790.45	790.45	787.35	145	917	724924	
500096	DABUR (I)   	A 	Q	171	172.5	170.55	171.95	171.95	170.2	1173	38738	6656987	
500097	DALMIASUG   	B 	Q	16.35	16.35	15.2	15.25	15.25	15.25	183	1341	21035	
500101	ARVIND Ltd  	B 	Q	138	139.65	136.25	138.7	138.7	136.7	3865	322244	44644472	
500102	BALARPUR IND	B 	Q	13.12	13.39	13.1	13.21	13.21	13.17	1867	416463	5511880	
500103	BHEL        	A 	Q	177.15	177.9	174.25	175.35	175.35	176.45	3742	278133	48963885	
500104	HIND.PETRO  	A 	Q	236.5	242.35	236.5	239.45	239.45	237.2	1972	82311	19751686	
500106	IFCI LTD    	A 	Q	25.8	26.3	25.8	26.05	26.05	25.65	2206	1094627	28495090	
500108	MAHA.TELE   	B 	Q	14.8	15.4	14.63	15.13	15.13	14.57	2523	624809	9433564	
500109	MRPL        	A 	Q	42.6	43.9	42.6	43.65	43.65	42.3	1436	156301	6805544	
500110	CHENNAI PET.	B 	Q	70.5	71	69.05	69.4	69.4	69.45	1273	63740	4462729	
500111	REL.CAP.    	A 	Q	363	367.4	360.15	366.05	366.05	361.4	7562	355176	129494539	
500112	STATE BANK  	A 	Q	1774	1774	1761	1765.3	1765.3	1765.5	6670	98601	174286981	
500113	STEEL AUTH. 	A 	Q	72.9	73.3	72.55	72.9	72.9	72.55	877	97647	7124275	
500114	TITAN       	A 	Q	230.25	232.7	229.5	230.8	230.8	229.4	2296	119214	27579322	
500116	IDBI BANK L 	A 	Q	66.85	67.7	66.6	67.4	67.4	66.45	2487	275211	18506776	
500117	DCW LTD.    	B 	Q	11.4	11.79	11.3	11.68	11.68	11.28	1006	217524	2534553	
500119	DHAMPUR SUGA	T 	Q	34.05	35.2	34.05	34.55	34.55	34.5	19	2795	96444	
500120	DIAMINES&CHM	B 	Q	23	23	22	22	22	22	6	2238	49543	
500123	ELANTAS     	B 	Q	556	563	556	558.3	559.9	558.1	623	3007	1680339	
500124	DR.REDDY'S  	A 	Q	2534	2545	2527.35	2536.05	2536.05	2533.05	365	4601	11667401	
500125	E.I.D.PAR   	B 	Q	141.1	142	139.1	140.25	140.25	140.55	208	2548	357662	
500126	MERCK LTD   	B 	Q	562	581.8	562	574.45	574.45	561.25	780	7495	4291947	
500128	ELEC.CASTING	B 	Q	15.15	15.4	14.85	15.05	15.05	14.9	313	152819	2323482	
500133	ESAB INDIA  	B 	Q	455	465.8	455	459.9	456.05	461.4	54	176	80907	
500134	ESSAR OIL   	A 	Q	54.4	55	54.15	54.3	54.3	54.5	1793	199632	10880506	
500135	ESSEL PROP  	B 	Q	54.3	54.75	53.2	54.45	54.45	54.3	869	77465	4176351	
500136	ESTER INDUS.	B 	Q	13.5	13.9	13.3	13.62	13.7	13.46	202	44272	599435	
500139	FEDDER.LLYOD	B 	Q	34.15	35.25	33.9	34.65	34.65	34.05	617	38902	1347115	
500141	FERRO ALLOYS	B 	Q	5.45	6.2	5.45	5.85	5.89	5.82	260	23587	136517	
500142	FGP LTD.    	B 	Q	1.76	1.77	1.73	1.77	1.77	1.8	3	316	555	
